Title,Director,Genre,Cast,combined
festival express,bob smeaton,rockumentary,rick danko levon helm garth hudson,festival express bob smeaton rockumentary rick danko levon helm garth hudson
the fighting temptations,jonathan lynn,musical  comedy,beyoncé cuba gooding jr. wendell pierce,the fighting temptations jonathan lynn musical  comedy beyoncé cuba gooding jr. wendell pierce
final destination 2,david r. ellis,horror,a.j. cook ali larter michael landes,final destination 2 david r. ellis horror a.j. cook ali larter michael landes
finding nemo,"andrew stanton, lee unkrich",animation  family,albert brooks ellen degeneres alexander gould,"finding nemo andrew stanton, lee unkrich animation  family albert brooks ellen degeneres alexander gould"
flywheel,alex kendrick,drama,rosetta harris armstrong lisa arnold blake bailey,flywheel alex kendrick drama rosetta harris armstrong lisa arnold blake bailey
the fog of war,errol morris,documentary,robert mcnamara fidel castro barry goldwater,the fog of war errol morris documentary robert mcnamara fidel castro barry goldwater
freaky friday,mark waters,family  comedy,lindsay lohan jamie lee curtis harold gould,freaky friday mark waters family  comedy lindsay lohan jamie lee curtis harold gould
freddy vs. jason,ronny yu,horror,robert englund ken kirzinger monica keena,freddy vs. jason ronny yu horror robert englund ken kirzinger monica keena
from justin to kelly,robert iscove,comedy  musical,kelly clarkson justin guarini brandon henschel,from justin to kelly robert iscove comedy  musical kelly clarkson justin guarini brandon henschel
gang of roses,jean-claude la marre,drama  western,monica calhoun lil' kim stacey dash,gang of roses jean-claude la marre drama  western monica calhoun lil' kim stacey dash
georges bataille's story of the eye,andrew repasky mcelhinney,drama  experimental,querelle haynes kevin mitchell martin claude barrington white,georges bataille's story of the eye andrew repasky mcelhinney drama  experimental querelle haynes kevin mitchell martin claude barrington white
gigli,martin brest,crime  comedy,ben affleck jennifer lopez justin bartha,gigli martin brest crime  comedy ben affleck jennifer lopez justin bartha
gods and generals,ronald f. maxwell,drama  war,stephen lang jeff daniels robert duvall,gods and generals ronald f. maxwell drama  war stephen lang jeff daniels robert duvall
good boy!,john hoffman,family  comedy,molly shannon liam aiken matthew broderick,good boy! john hoffman family  comedy molly shannon liam aiken matthew broderick
gothika,mathieu kassovitz,horror,halle berry robert downey jr. charles s. dutton,gothika mathieu kassovitz horror halle berry robert downey jr. charles s. dutton
grand theft parsons,david caffrey,comedy  drama,johnny knoxville christina applegate gabriel macht,grand theft parsons david caffrey comedy  drama johnny knoxville christina applegate gabriel macht
grind,casey la scala,comedy  sports,mike vogel vince vieluf adam brody,grind casey la scala comedy  sports mike vogel vince vieluf adam brody
a guy thing,chris koch,romantic comedy,jason lee julia stiles selma blair,a guy thing chris koch romantic comedy jason lee julia stiles selma blair
the haunted mansion,rob minkoff,family  fantasy,eddie murphy marsha thomason terence stamp,the haunted mansion rob minkoff family  fantasy eddie murphy marsha thomason terence stamp
head of state,chris rock,comedy,chris rock bernie mac dylan baker,head of state chris rock comedy chris rock bernie mac dylan baker
hey dj,3 directors,comedy,jon jacobs charlotte lewis tina wiseman,hey dj 3 directors comedy jon jacobs charlotte lewis tina wiseman
holes,andrew davis,family  drama,shia labeouf khleo thomas sigourney weaver,holes andrew davis family  drama shia labeouf khleo thomas sigourney weaver
hollywood homicide,ron shelton,crime  comedy,harrison ford josh hartnett lena olin,hollywood homicide ron shelton crime  comedy harrison ford josh hartnett lena olin
honey,bille woodruff,musical  romance,jessica alba mekhi phifer joy bryant,honey bille woodruff musical  romance jessica alba mekhi phifer joy bryant
hope springs,mark herman,romantic comedy,meryl streep steve carell tommy lee jones,hope springs mark herman romantic comedy meryl streep steve carell tommy lee jones
house of 1000 corpses,rob zombie,comedy  horror,sid haig bill moseley sheri moon zombie,house of 1000 corpses rob zombie comedy  horror sid haig bill moseley sheri moon zombie
house of sand and fog,vadim perelman,drama,jennifer connelly ben kingsley ron eldard,house of sand and fog vadim perelman drama jennifer connelly ben kingsley ron eldard
house of the dead,uwe boll,horror,jonathan cherry tyron leitso clint howard,house of the dead uwe boll horror jonathan cherry tyron leitso clint howard
how to deal,clare kilner,romantic comedy,mandy moore trent ford allison janney,how to deal clare kilner romantic comedy mandy moore trent ford allison janney
how to lose a guy in 10 days,donald petrie,romantic comedy,kate hudson matthew mcconaughey kathryn hahn,how to lose a guy in 10 days donald petrie romantic comedy kate hudson matthew mcconaughey kathryn hahn
hulk,ang lee,superhero  action,eric bana jennifer connelly sam elliott,hulk ang lee superhero  action eric bana jennifer connelly sam elliott
the human stain,robert benton,romance,anthony hopkins nicole kidman ed harris,the human stain robert benton romance anthony hopkins nicole kidman ed harris
the hunted,william friedkin,action  drama,tommy lee jones benicio del toro connie nielsen,the hunted william friedkin action  drama tommy lee jones benicio del toro connie nielsen
i am david,paul feig,drama,ben tibber jim caviezel joan plowright,i am david paul feig drama ben tibber jim caviezel joan plowright
identity,james mangold,horror,john cusack ray liotta amanda peet,identity james mangold horror john cusack ray liotta amanda peet
imagining argentina,christopher hampton,drama  romance,antonio banderas emma thompson leticia dolera,imagining argentina christopher hampton drama  romance antonio banderas emma thompson leticia dolera
in the cut,jane campion,crime  drama,meg ryan mark ruffalo jennifer jason leigh,in the cut jane campion crime  drama meg ryan mark ruffalo jennifer jason leigh
the in-laws,andrew fleming,action  comedy,michael douglas albert brooks ryan reynolds,the in-laws andrew fleming action  comedy michael douglas albert brooks ryan reynolds
indigo,stephen simon,drama,kohei shinozaki elizabeth davison keiko boxall,indigo stephen simon drama kohei shinozaki elizabeth davison keiko boxall
intolerable cruelty,joel and ethan coen,crime  comedy,george clooney catherine zeta-jones edward herrmann,intolerable cruelty joel and ethan coen crime  comedy george clooney catherine zeta-jones edward herrmann
it runs in the family,fred schepisi,drama,michael douglas kirk douglas bernadette peters,it runs in the family fred schepisi drama michael douglas kirk douglas bernadette peters
the italian job,f. gary gray,action  crime,mark wahlberg charlize theron edward norton,the italian job f. gary gray action  crime mark wahlberg charlize theron edward norton
jeepers creepers ii,victor salva,horror,gina philips gabrielle haugh jonathan breck,jeepers creepers ii victor salva horror gina philips gabrielle haugh jonathan breck
johnny english,peter howitt,spy  comedy,rowan atkinson gillian anderson dominic west,johnny english peter howitt spy  comedy rowan atkinson gillian anderson dominic west
the jungle book 2,steven trenbirth,animation  family,john goodman haley joel osment mae whitman,the jungle book 2 steven trenbirth animation  family john goodman haley joel osment mae whitman
just married,shawn levy,romantic comedy,ashton kutcher brittany murphy christian kane,just married shawn levy romantic comedy ashton kutcher brittany murphy christian kane
kangaroo jack,david mcnally,crime comedy,jerry o'connell anthony anderson estella warren,kangaroo jack david mcnally crime comedy jerry o'connell anthony anderson estella warren
kill bill: volume 1,quentin tarantino,action,uma thurman lucy liu vivica a. fox,kill bill: volume 1 quentin tarantino action uma thurman lucy liu vivica a. fox
lara croft tomb raider: the cradle of life,jan de bont,action  fantasy,angelina jolie gerard butler ciarán hinds,lara croft tomb raider: the cradle of life jan de bont action  fantasy angelina jolie gerard butler ciarán hinds
the last samurai,edward zwick,action  drama,tom cruise ken watanabe timothy spall,the last samurai edward zwick action  drama tom cruise ken watanabe timothy spall
the league of extraordinary gentlemen,stephen norrington,superhero,sean connery naseeruddin shah peta wilson,the league of extraordinary gentlemen stephen norrington superhero sean connery naseeruddin shah peta wilson
"legally blonde 2: red, white & blonde",charles herman-wurmfeld,comedy,reese witherspoon sally field regina king,"legally blonde 2: red, white & blonde charles herman-wurmfeld comedy reese witherspoon sally field regina king"
the life of david gale,alan parker,crime drama,kevin spacey kate winslet laura linney,the life of david gale alan parker crime drama kevin spacey kate winslet laura linney
the lizzie mcguire movie,jim fall,comedy,hilary duff hallie todd jake thomas,the lizzie mcguire movie jim fall comedy hilary duff hallie todd jake thomas
looney tunes: back in action,joe dante,live-action/animation  family,brendan fraser jenna elfman steve martin,looney tunes: back in action joe dante live-action/animation  family brendan fraser jenna elfman steve martin
the lord of the rings: the return of the king,peter jackson,adventure  fantasy,elijah wood ian mckellen liv tyler,the lord of the rings: the return of the king peter jackson adventure  fantasy elijah wood ian mckellen liv tyler
lost in translation,sofia coppola,comedy  drama,bill murray scarlett johansson giovanni ribisi,lost in translation sofia coppola comedy  drama bill murray scarlett johansson giovanni ribisi
love don't cost a thing,troy beyer,romantic comedy,nick cannon christina milian kenan thompson,love don't cost a thing troy beyer romantic comedy nick cannon christina milian kenan thompson
malibu's most wanted,john whitesell,comedy  drama,jamie kennedy taye diggs anthony anderson,malibu's most wanted john whitesell comedy  drama jamie kennedy taye diggs anthony anderson
a man apart,f. gary gray,crime,vin diesel larenz tate timothy olyphant,a man apart f. gary gray crime vin diesel larenz tate timothy olyphant
manhood,bobby roth,comedy  drama,nestor carbonell john ritter janeane garofalo,manhood bobby roth comedy  drama nestor carbonell john ritter janeane garofalo
marci x,richard benjamin,comedy,lisa kudrow damon wayans richard benjamin,marci x richard benjamin comedy lisa kudrow damon wayans richard benjamin
masked and anonymous,larry charles,comedy  drama,bob dylan jeff bridges penélope cruz,masked and anonymous larry charles comedy  drama bob dylan jeff bridges penélope cruz
master and commander: the far side of the world,peter weir,drama  war,russell crowe paul bettany billy boyd,master and commander: the far side of the world peter weir drama  war russell crowe paul bettany billy boyd
